$Green Spring Met year 2005 YC 02/02/2023,,,,,,
",,,",,,,,,
Jday,TAIR,TDEW,WIND,PHI,Cloud,Solar
2.250,6.666666667,5.62,0.44704,1.570797,0,3.49384343
2.292,5.555555556,3.73,2.68224,2.0071295,0,15.47273519
2.333,6.111111111,4.44,0.89408,1.7802366,0,68.87862762
2.375,8.333333333,6.13,0.89408,1.7976899,0,116.7941947
2.417,9.444444444,5.8,1.78816,1.8675031,0,148.737906
2.458,10,3.95,6.25856,2.3038356,0,206.1367624
2.500,9.444444444,3.63,5.36448,2.5481818,0,155.7255929
2.542,8.888888889,2.02,5.81152,2.5481818,0,104.3161824
2.583,8.333333333,2.78,4.91744,2.617995,0,136.2598938
2.625,8.888888889,4.32,3.12928,2.2514757,0,63.38830223
2.667,8.333333333,4.54,3.12928,2.3736488,0,11.97889176
2.708,8.333333333,4.36,3.57632,2.0594894,0,3.99296392
2.750,8.888888889,4.71,2.2352,1.919863,0,3.99296392
2.792,8.333333333,3.78,5.36448,2.1816625,0,3.99296392
2.833,8.333333333,4.54,4.4704,1.9896762,0,3.49384343
2.875,8.333333333,4.36,2.68224,1.7278767,0,3.99296392
2.917,7.777777778,3.63,2.2352,1.74533,0,3.99296392
2.958,7.222222222,4.7,0.89408,2.1816625,0,3.99296392
3.000,7.222222222,5.2,1.34112,2.617995,0,3.99296392
3.042,7.222222222,6.32,4.91744,2.4085554,0,3.99296392
3.083,6.666666667,5.77,1.34112,1.9896762,0,3.99296392
3.125,6.666666667,6.08,2.2352,2.1642092,0,3.99296392
3.167,6.666666667,5.77,2.68224,2.268929,0,3.99296392
3.208,6.666666667,5.7,2.2352,1.570797,0,3.99296392
3.250,5.555555556,4.52,2.2352,1.8849564,0,3.99296392
3.292,5,3.96,2.2352,1.4486239,0,9.48328931
3.333,5,3.5,2.2352,1.2391843,0,31.44459087
3.375,5.555555556,4.05,1.34112,1.1344645,0,83.35312183
3.417,6.111111111,4.44,1.34112,1.4660772,0,102.3197005
3.458,6.111111111,4.44,1.34112,1.1344645,0,131.7678094
3.500,6.666666667,4.99,0.89408,1.2042777,0,101.3214595
3.542,6.666666667,5.15,1.34112,1.2391843,0,96.82937506
3.583,7.222222222,4.87,0.89408,1.5009838,0,70.87510958
3.625,6.666666667,4.16,0,1.221731,0,36.43579577
3.667,6.111111111,3.78,0,6.2482814,0,18.46745813
3.708,6.111111111,5.22,0.44704,4.9567372,0,3.99296392
3.750,5.555555556,4.97,0,5.5326961,0,3.99296392
3.792,5,4.12,0,1.1868244,0,3.99296392
3.833,5,3.96,0.44704,0.1919863,0,3.49384343
3.875,5,4.27,0,6.1261083,0,3.49384343
3.917,4.444444444,3.86,0,3.6826463,0,3.49384343
3.958,3.888888889,3.31,0,0.8901183,0,3.49384343
4.000,3.333333333,2.9,0,1.1868244,0,3.49384343
4.042,2.777777778,2.35,0,1.7104234,0,3.49384343
4.083,2.222222222,1.79,0,0.4014259,0,3.49384343
4.125,3.333333333,2.9,0,0.0872665,0,3.49384343
4.167,2.777777778,2.35,0.44704,0,0,3.49384343
4.208,2.777777778,2.35,0,0,0,3.49384343
4.250,2.777777778,2.35,0,6.0737484,0,3.49384343
4.292,2.777777778,2.35,0,0.8028518,0,8.98416882
4.333,3.333333333,2.9,0,1.7278767,0,44.42172361
4.375,4.444444444,4.01,0,0.6108655,0,72.87159154
4.417,5.555555556,4.52,0.44704,0.3839726,0,94.8328931
4.458,5.555555556,3.89,0.44704,3.6128331,0,176.189533
4.500,5.555555556,4.21,1.34112,3.5255666,0,175.191292
4.542,6.111111111,5.07,1.34112,3.8920859,0,114.2985922
4.583,6.111111111,4.44,1.34112,3.9444458,0,79.36015791
4.625,5.555555556,4.05,0.89408,3.141594,0,72.37247105
4.667,6.111111111,5.22,1.34112,4.1713387,0,28.94898842
4.708,5.555555556,4.37,0.44704,2.2165691,0,3.99296392
4.750,5.555555556,4.37,0.89408,1.3264508,0,3.99296392
4.792,5,4.12,0,1.919863,0,3.49384343
4.833,3.888888889,3.16,0,1.570797,0,3.49384343
4.875,3.888888889,3.31,0,2.268929,0,3.49384343
4.917,3.333333333,2.9,0,1.2915442,0,3.49384343
4.958,2.222222222,1.79,0,1.7627833,0,3.49384343
5.000,1.666666667,1.25,0,1.6929701,0,3.49384343
5.042,1.666666667,1.25,0.44704,1.4311706,0,3.49384343
5.083,1.666666667,1.25,0.44704,2.094396,0,2.99472294
5.125,2.777777778,2.35,0.44704,1.5358904,0,3.49384343
5.167,2.222222222,1.79,0,1.74533,0,3.49384343
5.208,2.222222222,1.79,0.89408,1.5882503,0,2.99472294
5.250,1.666666667,1.25,0.89408,1.5358904,0,3.49384343
5.292,2.222222222,1.65,0.89408,1.570797,0,36.43579577
5.333,2.222222222,1.36,0.44704,1.570797,0,74.36895301
5.375,7.222222222,6.17,0.44704,1.6406102,0,181.6798584
5.417,10,5.39,1.78816,1.5358904,0,428.7445009
5.458,10.55555556,4.05,1.78816,2.3387422,0,472.1679835
5.500,11.66666667,4.41,2.68224,2.4260087,0,408.7796813
5.542,12.22222222,4.69,2.68224,2.2340224,0,210.6288468
5.583,11.11111111,3.65,2.68224,2.7052615,0,197.1525936
5.625,12.77777778,5.92,2.2352,2.9147011,0,97.82761604
5.667,10,2.37,2.2352,2.7576214,0,21.46218107
5.708,8.888888889,2.89,1.78816,3.3335803,0,3.99296392
5.750,8.333333333,4.17,0,3.1241407,0,3.99296392
5.792,7.222222222,3.83,0,0.5061457,0,3.99296392
5.833,7.222222222,5.04,0,5.9515753,0,3.99296392
5.875,6.666666667,4.66,0.44704,1.0297447,0,3.99296392
5.917,6.111111111,4.11,0,1.8849564,0,3.99296392
5.958,5.555555556,3.57,0,2.4260087,0,3.49384343
6.000,5.555555556,3.89,0.44704,1.1868244,0,3.99296392
6.042,6.111111111,4.28,0,1.5358904,0,3.99296392
6.083,6.111111111,4.6,0,1.6406102,0,3.99296392
6.125,5.555555556,3.24,0,0.8203051,0,3.99296392
6.167,5,3.18,0,2.3387422,0,3.49384343
6.208,5,3.02,0,1.0122914,0,3.99296392
6.250,4.444444444,2.79,0,3.1241407,0,3.99296392
6.292,4.444444444,3.26,0.44704,5.7072291,0,11.97889176
6.333,4.444444444,3.1,0,1.0646513,0,62.39006125
6.375,8.333333333,6.95,0,0.7330386,0,131.7678094
6.417,11.11111111,5.22,0.44704,1.1344645,0,177.187774
6.458,14.44444444,6.54,0.44704,3.2288605,0,206.1367624
6.500,15,5.24,0,4.1189788,0,349.384343
6.542,10,1.64,1.34112,3.6826463,0,250.558486
6.583,8.333333333,5.09,2.68224,3.5953798,0,237.0822328
6.625,11.66666667,9.24,1.34112,3.1939539,0,171.6974486
6.667,9.444444444,4.05,0.89408,2.4958219,0,39.43051871
6.708,6.111111111,3.1,1.78816,3.4383001,0,3.99296392
6.750,4.444444444,3.26,1.34112,2.2863823,0,3.99296392
6.792,3.888888889,3.31,0,1.4835305,0,3.49384343
6.833,3.888888889,3.46,1.34112,1.9722229,0,3.49384343
6.875,5.555555556,5.12,0.89408,1.9722229,0,3.49384343
6.917,6.111111111,5.67,0.89408,1.6057036,0,3.49384343
6.958,5.555555556,3.73,0.89408,1.7976899,0,3.99296392
7.000,6.111111111,3.78,1.78816,1.6406102,0,3.99296392
7.042,6.111111111,2.93,1.34112,1.8500498,0,3.49384343
7.083,7.222222222,4.01,0.89408,1.8325965,0,3.99296392
7.125,8.333333333,1.93,3.57632,2.0594894,0,3.99296392
7.167,6.111111111,-1.75,6.25856,2.268929,0,3.99296392
7.208,5,2.19,5.36448,1.9722229,0,3.99296392
7.250,5,3.96,7.15264,1.9024097,0,3.99296392
7.292,7.222222222,5.53,4.91744,1.74533,0,7.98592784
7.333,8.333333333,5.44,5.81152,1.7278767,0,62.39006125
7.375,9.444444444,4.85,8.9408,2.1642092,0,94.8328931
7.417,10.55555556,6.13,10.72896,2.2165691,0,258.5444138
7.458,11.11111111,5.85,12.96416,2.1467559,0,163.2124002
7.500,11.11111111,5.22,12.96416,2.1816625,0,154.7273519
7.542,10,4.16,13.85824,2.1991158,0,92.33729065
7.583,9.444444444,7.39,14.75232,2.1642092,0,171.1983281
7.625,10,8.92,12.96416,2.1991158,0,96.82937506
7.667,10,8.76,13.85824,2.3038356,0,8.48504833
7.708,10.55555556,9.15,8.9408,2.4783686,0,3.99296392
7.750,8.888888889,6.51,4.02336,3.7873661,0,3.99296392
7.792,7.777777778,5.92,2.2352,3.7524595,0,3.99296392
7.833,8.333333333,7.27,0,2.8972478,0,3.99296392
7.875,8.333333333,6.3,2.2352,2.5830884,0,3.99296392
7.917,8.888888889,5.45,3.57632,2.8972478,0,3.99296392
7.958,8.333333333,4.17,4.02336,3.2986737,0,3.99296392
8.000,8.333333333,5.09,4.4704,2.3561955,0,3.99296392
8.042,7.777777778,5.08,3.12928,2.1991158,0,3.99296392
8.083,8.333333333,7.11,4.02336,2.5656351,0,3.99296392
8.125,8.333333333,6.79,4.02336,2.6703549,0,3.99296392
8.167,8.333333333,7.27,5.36448,2.7750747,0,3.99296392
8.208,8.333333333,7.27,5.36448,2.7227148,0,3.99296392
8.250,7.777777778,7.18,6.25856,2.7750747,0,3.99296392
8.292,8.333333333,7.73,5.81152,2.443462,0,11.97889176
8.333,8.333333333,7.58,5.81152,2.6354483,0,19.46569911
8.375,8.333333333,7.73,6.7056,2.4609153,0,79.8592784
8.417,8.333333333,7.73,6.25856,2.5481818,0,311.9503063
8.458,8.888888889,8.44,6.7056,2.6878082,0,195.1561116
8.500,9.444444444,8.37,4.91744,2.8099813,0,152.2317495
8.542,9.444444444,8.68,4.91744,2.7052615,0,132.2669299
8.583,9.444444444,8.52,5.36448,2.7750747,0,119.2897971
8.625,9.444444444,7.88,5.81152,3.316127,0,160.7167978
8.667,8.888888889,6.85,3.57632,3.4557534,0,46.41820557
8.708,8.888888889,7.5,2.68224,3.2812204,0,3.99296392
8.750,8.888888889,7.82,3.12928,2.5656351,0,3.99296392
8.792,8.888888889,7.34,3.12928,2.7401681,0,3.99296392
8.833,8.333333333,7.11,2.2352,2.8448879,0,3.99296392
8.875,8.888888889,7.66,3.57632,2.4260087,0,3.99296392
8.917,8.888888889,6.85,3.57632,2.5307285,0,3.99296392
8.958,8.333333333,6.13,2.2352,2.967061,0,3.99296392
9.000,8.333333333,6.95,2.2352,2.4085554,0,3.99296392
9.042,8.333333333,7.42,0.89408,1.919863,0,3.49384343
9.083,7.222222222,6.63,0.44704,1.6406102,0,3.99296392
9.125,8.333333333,7.88,0.44704,1.7104234,0,3.99296392
9.167,9.444444444,8.68,0.44704,1.9896762,0,3.99296392
9.208,9.444444444,8.84,1.78816,2.792528,0,3.99296392
9.250,9.444444444,8.99,0.44704,1.570797,0,3.99296392
9.292,9.444444444,8.99,1.34112,1.5358904,0,5.49032539
9.333,9.444444444,8.84,0.89408,1.9373163,0,20.46394009
9.375,8.888888889,8.44,0.89408,5.5152428,0,73.86983252
9.417,9.444444444,8.99,0.89408,5.3930697,0,152.2317495
9.458,10,9.55,0.44704,0.4014259,0,91.33904967
9.500,10.55555556,9.64,0.89408,0.9424782,0,80.85751938
9.542,10.55555556,9.64,0.44704,5.7770423,0,96.33025457
9.583,10.55555556,9.48,1.34112,0.9773848,0,134.2634118
9.625,10.55555556,9.95,0.89408,5.8468555,0,67.88038664
9.667,10,9.39,1.34112,5.585056,0,15.97185568
9.708,8.333333333,7.73,2.2352,5.1836301,0,4.49208441
9.750,7.777777778,7.18,3.12928,5.3581631,0,3.99296392
9.792,7.777777778,7.33,2.2352,5.3581631,0,3.99296392
9.833,8.333333333,7.88,0.44704,5.8817621,0,3.99296392
9.875,8.333333333,7.88,0.44704,2.792528,0,3.99296392
9.917,8.333333333,7.42,0.89408,1.0821046,0,3.99296392
9.958,8.333333333,7.58,0.44704,4.9567372,0,3.99296392
10.000,8.333333333,7.73,0,6.2133748,0,3.99296392
10.042,8.333333333,7.88,0.44704,4.8520174,0,3.99296392
10.083,8.333333333,7.88,0.44704,1.6580635,0,3.99296392
10.125,8.333333333,7.73,1.34112,3.0194209,0,3.99296392
10.167,8.333333333,7.88,0.44704,2.3038356,0,3.99296392
10.208,8.333333333,7.88,0,1.4311706,0,3.99296392
10.250,8.333333333,7.88,0,1.570797,0,3.99296392
10.292,8.333333333,7.88,0.44704,2.7750747,0,8.48504833
10.333,8.333333333,7.88,0,1.3613574,0,53.40589243
10.375,9.444444444,8.99,0,4.9916438,0,111.3038693
10.417,9.444444444,8.99,0,5.3581631,0,144.2458216
10.458,10,9.24,0.89408,2.1118493,0,171.6974486
10.500,10,9.24,2.68224,2.4609153,0,199.1490755
10.542,10,9.24,3.12928,2.3561955,0,250.0593655
10.583,10,9.39,2.68224,3.2637671,0,172.6956895
10.625,10,9.39,3.12928,4.1364321,0,165.2088822
10.667,10.55555556,9.95,3.12928,2.5656351,0,36.43579577
10.708,10,8.76,3.12928,2.1991158,0,4.49208441
10.750,10,9.24,2.68224,2.5656351,0,3.99296392
10.792,10.55555556,10.1,2.68224,2.3561955,0,3.99296392
10.833,11.66666667,11.36,2.2352,2.5307285,0,3.99296392
10.875,11.11111111,10.34,7.15264,2.4958219,0,3.99296392
10.917,10,8.92,5.81152,2.6354483,0,3.99296392
10.958,8.333333333,7.42,5.81152,2.5656351,0,3.99296392
11.000,7.222222222,6.47,5.36448,3.4033935,0,3.99296392
11.042,6.111111111,5.52,4.02336,3.3335803,0,3.49384343
11.083,5,4.42,1.34112,1.919863,0,3.49384343
11.125,5,4.56,1.78816,1.570797,0,3.49384343
11.167,5,4.42,0.89408,1.74533,0,3.49384343
11.208,6.111111111,5.22,1.78816,1.8151432,0,3.49384343
11.250,6.111111111,3.95,5.36448,2.0245828,0,3.49384343
11.292,6.111111111,3.95,4.4704,2.1293026,0,17.46921715
11.333,6.111111111,3.78,7.15264,2.3911021,0,12.47801225
11.375,5.555555556,3.73,5.36448,1.9373163,0,37.43403675
11.417,5.555555556,3.73,5.81152,2.0420361,0,145.7431831
11.458,6.111111111,4.75,6.7056,2.4958219,0,111.3038693
11.500,6.111111111,4.6,4.91744,2.3736488,0,44.9208441
11.542,5.555555556,4.21,7.15264,2.1642092,0,83.85224232
11.583,5.555555556,4.37,3.12928,1.8849564,0,142.7484601
11.625,6.111111111,4.44,4.4704,1.9896762,0,121.7853996
11.667,6.666666667,4.33,3.12928,1.5533437,0,32.44283185
11.708,6.111111111,3.27,1.34112,1.2391843,0,3.99296392
11.750,6.111111111,3.95,0,0.9075716,0,3.49384343
11.792,5.555555556,4.37,0,5.8817621,0,3.49384343
11.833,5.555555556,4.52,0.89408,5.4977895,0,3.49384343
11.875,3.888888889,3.16,1.34112,5.4628829,0,3.49384343
11.917,3.333333333,2.75,0.89408,5.6199626,0,3.49384343
11.958,3.333333333,2.9,0.89408,6.0213885,0,3.49384343
12.000,1.666666667,0.81,0.44704,1.0821046,0,3.49384343
12.042,1.666666667,1.1,1.78816,0.9773848,0,3.49384343
12.083,0.555555556,-0.29,0.44704,4.5204047,0,3.49384343
12.125,1.666666667,1.1,0,2.9845143,0,3.99296392
12.167,1.666666667,0.36,1.34112,0.6457721,0,3.49384343
12.208,0,-1.59,1.34112,0.9599315,0,3.49384343
12.250,0,-0.85,0.44704,3.7699128,0,3.49384343
12.292,-0.555555556,-1.56,0.89408,1.0821046,0,11.97889176
12.333,0.555555556,-0.44,0.44704,3.4732067,0,52.90677194
12.375,5,2.86,0.44704,0.4712391,0,113.7994717
12.417,8.333333333,4.73,0.89408,1.7802366,0,236.5831123
12.458,9.444444444,4.05,0.89408,1.6755168,0,194.6569911
12.500,8.333333333,2.99,2.2352,3.0543275,0,176.6886535
12.542,8.888888889,5.45,2.2352,3.1241407,0,168.7027256
12.583,8.333333333,4.17,3.12928,2.4085554,0,260.0417753
12.625,10,6.89,1.78816,2.6703549,0,166.2071232
12.667,9.444444444,4.05,1.34112,1.8325965,0,73.86983252
12.708,5,2.19,2.2352,3.1939539,0,3.99296392
12.750,5,4.27,1.78816,2.7052615,0,2.99472294
12.792,4.444444444,3.41,1.34112,1.8325965,0,3.49384343
12.833,3.888888889,3.16,0.89408,1.396264,0,3.49384343
12.875,2.222222222,1.5,0,1.6929701,0,2.99472294
12.917,2.222222222,1.79,0,4.188792,0,2.99472294
12.958,1.111111111,0.69,0,1.8500498,0,2.99472294
13.000,0.555555556,0.14,0,1.5009838,0,2.99472294
13.042,1.111111111,0.69,0,3.0892341,0,2.99472294
13.083,1.111111111,0.69,0,1.6755168,0,2.99472294
13.125,0.555555556,0,0.44704,2.4085554,0,2.99472294
13.167,0,-0.56,0,1.4311706,0,2.99472294
13.208,0.555555556,0.14,0,6.0388418,0,2.99472294
13.250,1.111111111,0.69,0,2.2340224,0,3.49384343
13.292,1.111111111,0.4,0.44704,1.0995579,0,12.47801225
13.333,1.666666667,0.81,0,6.0737484,0,72.37247105
13.375,3.333333333,1.85,0.44704,1.3788107,0,154.2282314
13.417,6.111111111,4.44,0.44704,2.3911021,0,196.1543526
13.458,7.222222222,3.83,0,5.6897758,0,165.7080027
13.500,8.333333333,5.27,0.44704,5.759589,0,180.1824969
13.542,7.222222222,3.09,0.44704,3.2463138,0,194.1578706
13.583,6.666666667,3.99,0.44704,4.3109651,0,160.7167978
13.625,6.111111111,4.6,1.78816,3.3684869,0,93.33553163
13.667,6.666666667,5.31,0.89408,2.967061,0,28.44986793
13.708,5,3.34,0.44704,3.0543275,0,3.99296392
13.750,3.333333333,2.16,0.44704,3.6128331,0,3.49384343
13.792,3.333333333,2.75,0,1.396264,0,3.49384343
13.833,2.222222222,1.79,0,0.9424782,0,3.49384343
13.875,3.333333333,2.9,0.44704,3.4557534,0,3.49384343
13.917,3.333333333,2.9,0.44704,5.3407098,0,3.49384343
13.958,3.333333333,2.9,0,5.934122,0,3.49384343
14.000,3.333333333,2.9,0.89408,1.3613574,2,3.49384343
14.042,3.333333333,2.9,0.89408,2.1293026,2,2.99472294
14.083,3.333333333,2.9,0.44704,1.919863,2,3.49384343
14.125,3.333333333,2.9,0.89408,2.3212889,2,3.49384343
14.167,2.777777778,2.35,0,4.6949377,2,3.49384343
14.208,2.777777778,2.35,0.44704,1.4486239,2,3.49384343
14.250,3.333333333,2.9,0.44704,1.1868244,2,3.49384343
14.292,3.055555556,2.63,0.22352,2.8099813,2,6.48856637
14.333,2.777777778,2.35,0,4.4331382,2,24.9560245
14.375,3.333333333,2.9,0.44704,2.8623412,2,54.9032539
14.417,3.888888889,3.46,0.44704,0.9773848,2,77.36367595
14.458,4.444444444,4.01,0.89408,2.5132752,2,85.34960379
14.500,5,4.12,1.34112,2.967061,2,106.8117849
14.542,5.555555556,4.37,0.89408,4.2760585,2,98.82585702
14.583,5.555555556,3.73,1.78816,2.5656351,2,85.34960379
14.625,4.444444444,2.79,1.78816,3.665193,2,45.91908508
14.667,4.444444444,3.41,1.34112,2.9845143,2,14.47449421
14.708,3.888888889,3.01,0.44704,4.3458717,2,3.99296392
14.750,3.888888889,3.31,0.44704,3.9444458,2,2.99472294
14.792,3.888888889,3.46,1.34112,2.1816625,2,3.49384343
14.833,3.333333333,2.9,1.34112,3.0543275,2,3.49384343
14.875,3.888888889,3.46,1.34112,2.3736488,2,3.49384343
14.917,3.888888889,3.46,0.89408,2.0420361,2,2.99472294
14.958,3.333333333,2.9,1.78816,2.4783686,2,3.49384343
15.000,3.888888889,3.46,1.34112,2.2165691,2,3.49384343
15.042,3.333333333,2.9,1.34112,2.3038356,2,3.49384343
15.083,3.333333333,2.9,1.34112,2.1816625,2,2.99472294
15.125,3.333333333,2.9,0.89408,2.0245828,2,3.49384343
15.167,3.333333333,2.9,0.44704,3.1241407,2,3.49384343
15.208,2.777777778,2.35,0,0.9599315,2,3.49384343
15.250,2.777777778,2.35,0,5.9515753,2,3.49384343
15.292,2.777777778,2.35,0,5.5676027,2,8.48504833
15.333,2.777777778,2.35,0.44704,4.8520174,2,30.44634989
15.375,2.777777778,2.35,0.44704,0.5585056,2,54.9032539
15.417,3.888888889,3.46,0.44704,2.8972478,2,81.85576036
15.458,3.888888889,3.46,1.78816,2.8274346,2,88.34432673
15.500,4.444444444,4.01,2.2352,2.6703549,2,109.8065078
15.542,5,4.56,1.34112,2.2514757,2,108.8082668
15.583,8.333333333,7.58,0.44704,3.7175529,2,101.3214595
15.625,8.333333333,6.63,0.89408,2.1991158,2,68.37950713
15.667,6.111111111,3.78,1.34112,3.9618991,2,27.95074744
15.708,5,3.81,0.89408,3.3510336,2,3.99296392
15.750,4.444444444,3.86,1.34112,2.0245828,2,3.49384343
15.792,4.444444444,4.01,1.34112,4.8520174,2,3.49384343
15.833,4.444444444,4.01,0,5.3930697,2,3.49384343
15.875,3.888888889,3.46,0,1.3264508,2,3.49384343
15.917,3.888888889,3.46,0.44704,2.0420361,2,3.49384343
15.958,3.333333333,2.9,0,4.2586052,2,3.49384343
16.000,3.888888889,3.46,1.34112,1.8849564,2,3.49384343
16.042,3.888888889,3.46,2.2352,5.0265504,2,3.49384343
16.083,3.333333333,3.04,0.44704,5.8119489,2,3.49384343
16.125,3.333333333,2.9,1.34112,1.6231569,2,3.99296392
16.167,3.333333333,2.9,0.89408,4.8694707,2,3.49384343
16.208,3.333333333,3.04,0.89408,5.4454296,2,3.49384343
16.250,2.777777778,2.5,0.44704,5.5676027,2,3.99296392
16.292,3.333333333,3.04,0.44704,0.6108655,2,11.47977127
16.333,3.333333333,3.04,2.2352,4.6076712,2,50.91028998
16.375,4.444444444,4.15,2.68224,4.9218306,2,66.88214566
16.417,6.666666667,6.38,1.78816,1.2740909,2,112.3021103
16.458,7.222222222,6.78,0.89408,3.9095392,2,100.3232185
16.500,5.555555556,4.67,2.2352,2.5656351,2,100.822339
16.542,5,4.42,2.2352,3.1939539,2,87.84520624
16.583,5,4.42,1.78816,4.3109651,2,84.8504833
16.625,6.111111111,5.52,0.44704,4.2935118,2,61.39182027
16.667,6.111111111,5.37,0.44704,1.6057036,2,26.45338597
16.708,5,4.12,1.78816,4.5727646,2,3.99296392
16.750,5,4.56,0.44704,4.0317123,2,3.49384343
16.792,4.444444444,4.01,0.89408,2.7052615,2,2.99472294
16.833,5,4.56,1.78816,2.3038356,2,3.49384343
16.875,4.444444444,4.01,1.78816,2.7576214,2,3.99296392
16.917,3.888888889,3.46,1.78816,2.9496077,2,3.49384343
16.958,3.888888889,3.46,0.89408,2.3038356,2,3.49384343
17.000,3.888888889,3.6,1.34112,2.8274346,2,3.49384343
17.042,4.444444444,4.15,1.34112,2.0769427,2,3.99296392
17.083,3.888888889,3.6,0.89408,2.6005417,2,3.49384343
17.125,3.888888889,3.6,0,4.9392839,2,3.49384343
17.167,3.888888889,3.6,1.34112,2.268929,2,3.49384343
17.208,3.888888889,3.6,0.89408,2.268929,2,3.49384343
17.250,3.888888889,3.6,0.44704,3.1939539,2,3.49384343
17.292,3.888888889,3.6,0.44704,2.967061,2,8.48504833
17.333,3.888888889,3.6,0,1.5533437,2,32.94195234
17.375,3.888888889,3.6,0.89408,2.9147011,2,55.40237439
17.417,4.444444444,4.15,1.78816,2.7401681,2,79.36015791
17.458,4.444444444,4.15,1.34112,2.1118493,2,168.2036051
17.500,5.555555556,5.27,0.44704,2.1816625,2,129.2722069
17.542,5.555555556,5.12,0.89408,2.4783686,2,88.34432673
17.583,5,4.56,0.44704,4.3109651,2,82.35488085
17.625,5.555555556,5.12,0.44704,1.0821046,2,44.42172361
17.667,6.111111111,5.67,0.89408,1.8849564,2,19.46569911
17.708,5,4.42,0.89408,3.3510336,2,3.99296392
17.750,4.444444444,4.01,0.89408,3.1066874,2,3.99296392
17.792,4.444444444,4.01,0.44704,2.9845143,2,3.49384343
17.833,5,4.71,0,5.2534433,2,3.49384343
17.875,5,4.71,0.89408,1.7802366,2,3.49384343
17.917,5,4.71,0.44704,2.0245828,2,3.49384343
17.958,4.444444444,4.15,1.34112,2.1991158,2,3.49384343
18.000,4.444444444,4.15,1.34112,3.2812204,2,3.49384343
18.042,4.444444444,4.15,0.89408,1.8500498,2,3.49384343
18.083,4.444444444,4.15,0.44704,2.2514757,2,3.49384343
18.125,4.444444444,4.15,0,4.712391,2,3.49384343
18.167,4.444444444,4.15,0.44704,4.4680448,2,3.49384343
18.208,3.888888889,3.6,0.44704,3.141594,2,3.49384343
18.250,3.888888889,3.6,1.34112,1.8849564,2,3.49384343
18.292,3.888888889,3.6,0.89408,2.7052615,2,5.49032539
18.333,3.888888889,3.6,0.44704,5.6199626,2,28.94898842
18.375,4.444444444,4.15,0,0.8552117,2,64.8856637
18.417,5,4.71,0.89408,2.0594894,2,102.8188209
18.458,5.555555556,5.27,2.68224,2.3212889,2,116.7941947
18.500,5.555555556,5.27,2.68224,2.4085554,2,123.7818815
18.542,6.111111111,5.67,1.34112,2.6529016,2,113.7994717
18.583,6.666666667,6.23,1.34112,2.4260087,2,95.83113408
18.625,7.777777778,7.33,0.89408,2.2165691,2,65.38478419
18.667,7.777777778,7.18,0.89408,4.4854981,2,20.96306058
18.708,6.666666667,6.08,0.44704,4.2935118,2,3.99296392
18.750,6.111111111,5.67,0.44704,4.2062453,2,3.49384343
18.792,5.555555556,5.12,0.89408,4.4680448,2,3.49384343
18.833,5.555555556,5.27,0,4.7996575,2,2.99472294
18.875,5.555555556,5.27,0,4.5727646,2,3.49384343
18.917,5,4.71,0.44704,4.5553113,2,3.49384343
18.958,5,4.71,0,2.3736488,2,3.49384343
19.000,5,4.71,0,2.0594894,2,3.49384343
19.042,5,4.71,0.44704,2.4085554,2,3.49384343
19.083,4.444444444,4.15,0,4.1364321,2,2.99472294
19.125,5,4.71,0.89408,2.0594894,2,3.49384343
